Last_promotion_gsp,Years@Current Mangers,Education,EducationField,Employee_ID,Env_Satisfaction,Gender,HourlyRate,Job_Involvement,JobLevel,JobRole,Job satisfac,Marital Status,Monthly Income,Company Changed,18Yrs,Over Time,PercentSalaryHike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Training time spent,Work LifeBalance,Years @company,Years@Current role,BusinessTravel,Dept,Travel_distance,Attrition
2,0,Bachelor,Human Resources,1844,1,Male,56,2,1,Human Resources,1,Divorced,2335,4,Y,Yes,15,3,4,80,3,4,3,3,2,2,Travel_Rarely,Human Resources,13,Yes
0,8,Below College,Human Resources,1890,2,Male,94,2,2,Human Resources,4,Single,3886,1,Y,No,21,4,4,80,0,10,2,2,10,1,Travel_Frequently,Human Resources,2,No
0,0,Bachelor,Human Resources,1944,1,Female,58,2,1,Human Resources,2,Married,2863,1,Y,No,12,3,1,80,0,1,2,3,1,0,Travel_Frequently,Human Resources,22,Yes
1,4,Master,Human Resources,1973,3,Male,71,4,5,Manager,2,Married,19636,4,Y,Yes,18,3,1,80,1,35,0,3,10,9,Travel_Rarely,Human Resources,26,No
1,2,Bachelor,Human Resources,1987,3,Female,82,3,1,Human Resources,2,Married,2187,4,Y,No,14,3,3,80,0,6,3,3,2,0,Travel_Rarely,Human Resources,2,No
1,2,Master,Human Resources,6337,3,Male,63,3,1,Human Resources,1,Divorced,2173,3,Y,Yes,22,4,4,80,0,7,2,3,3,2,Travel_Rarely,Human Resources,6,Yes
3,2,Master,Human Resources,6344,3,Female,32,2,5,Manager,4,Married,18944,8,Y,No,21,4,4,80,1,30,2,3,3,2,Non-Travel,Human Resources,2,No
5,4,Bachelor,Human Resources,6352,4,Female,200,4,4,Manager,4,Single,17428,1,Y,Yes,12,3,3,80,0,23,2,3,5,3,Non-Travel,Human Resources,26,No
5,7,Bachelor,Human Resources,6388,3,Male,48,3,2,Human Resources,4,Married,6447,0,Y,Yes,19,3,4,80,0,12,1,1,11,9,Travel_Rarely,Human Resources,9,No
2,0,Bachelor,Human Resources,6628,1,Male,62,2,2,Human Resources,1,Married,6510,2,Y,No,12,3,4,80,0,9,0,3,2,2,Travel_Rarely,Human Resources,2,No
1,2,Bachelor,Human Resources,6794,2,Female,43,3,3,Human Resources,1,Divorced,10050,8,Y,Yes,15,3,3,80,3,11,1,3,3,2,Travel_Frequently,Human Resources,23,Yes
13,6,Master,Human Resources,6935,2,Male,73,2,5,Manager,4,Divorced,19241,2,Y,No,15,3,2,80,3,23,1,2,21,6,Travel_Rarely,Human Resources,10,No
3,10,Bachelor,Human Resources,6938,4,Male,59,2,5,Manager,3,Married,19289,1,Y,No,12,3,2,80,1,22,2,3,22,7,Travel_Rarely,Human Resources,1,No
4,6,Bachelor,Human Resources,6964,3,Female,44,4,2,Human Resources,2,Married,6489,8,Y,No,15,3,3,80,1,12,2,1,8,3,Travel_Rarely,Human Resources,3,No
1,4,Bachelor,Human Resources,7033,3,Male,36,3,1,Human Resources,2,Married,2243,3,Y,No,13,3,2,80,1,8,1,3,5,2,Travel_Rarely,Human Resources,13,No
1,2,College,Human Resources,7051,3,Male,88,3,1,Human Resources,4,Married,3837,0,Y,No,19,3,3,80,1,4,0,1,3,2,Travel_Rarely,Human Resources,3,No
1,3,College,Human Resources,7114,4,Male,57,3,1,Human Resources,2,Divorced,2377,2,Y,Yes,11,3,3,80,1,7,3,4,4,3,Travel_Rarely,Human Resources,3,No
6,0,Bachelor,Human Resources,7356,3,Male,37,4,1,Human Resources,3,Married,2944,1,Y,No,13,3,4,80,1,7,1,4,7,6,Travel_Rarely,Human Resources,1,No
2,4,Bachelor,Human Resources,7411,2,Male,99,3,1,Human Resources,3,Married,3700,1,Y,No,13,3,4,80,1,5,1,3,5,4,Travel_Rarely,Human Resources,2,No
1,9,Bachelor,Human Resources,7612,3,Female,6,3,4,Manager,1,Married,16899,0,Y,No,14,3,3,80,1,21,4,3,20,7,Travel_Rarely,Human Resources,10,No
2,2,Master,Human Resources,7767,3,Male,71,3,2,Human Resources,3,Married,6177,2,Y,No,11,3,3,80,0,10,1,3,6,3,Travel_Frequently,Human Resources,10,No
1,2,Phd,Human Resources,7846,1,Male,37,3,2,Human Resources,4,Married,5843,3,Y,Yes,11,3,3,80,0,14,2,3,10,7,Travel_Frequently,Human Resources,1,No
1,0,Below College,Human Resources,7918,2,Male,58,1,1,Human Resources,3,Married,1655,1,Y,No,11,3,3,80,1,1,1,3,1,0,Travel_Rarely,Human Resources,22,Yes
2,2,Bachelor,Human Resources,7926,3,Male,60,1,2,Human Resources,2,Married,6530,5,Y,No,19,3,2,80,1,10,3,3,3,2,Non-Travel,Human Resources,4,No
2,2,Bachelor,Human Resources,7951,3,Female,66,2,1,Human Resources,4,Divorced,2280,5,Y,No,11,3,3,80,1,6,0,2,4,2,Travel_Frequently,Human Resources,8,Yes
4,8,Bachelor,Human Resources,8009,1,Male,100,3,1,Human Resources,2,Divorced,2692,4,Y,No,13,3,4,80,3,13,2,3,11,10,Non-Travel,Human Resources,2,No
1,0,Phd,Human Resources,8046,2,Male,89,4,1,Human Resources,1,Married,3056,0,Y,No,17,3,3,80,0,2,3,3,1,0,Travel_Rarely,Human Resources,18,Yes
3,0,Bachelor,Human Resources,8048,1,Male,56,2,1,Human Resources,1,Divorced,2435,3,Y,Yes,15,3,4,80,3,4,2,3,2,2,Travel_Rarely,Human Resources,13,Yes
1,8,Below College,Human Resources,8094,2,Male,94,2,2,Human Resources,4,Single,3986,1,Y,No,21,4,4,80,0,10,1,2,10,1,Travel_Frequently,Human Resources,2,No
1,0,Bachelor,Human Resources,8148,1,Female,58,2,1,Human Resources,2,Married,2963,1,Y,No,12,3,1,80,0,1,1,3,1,0,Travel_Frequently,Human Resources,22,Yes
2,4,Master,Human Resources,8177,3,Male,71,4,5,Manager,2,Married,19736,3,Y,Yes,18,3,1,80,1,35,0,3,10,9,Travel_Rarely,Human Resources,26,No
2,2,Bachelor,Human Resources,8191,3,Female,82,3,1,Human Resources,2,Married,2287,3,Y,No,14,3,3,80,0,6,2,3,2,0,Travel_Rarely,Human Resources,2,No
0,5,College,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,Travel_Rarely,Sales,1,Yes
1,7,Below College,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130,1,Y,No,23,4,4,80,1,10,3,3,10,7,Travel_Frequently,Research & Development,8,No
3,0,Master,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,Travel_Frequently,Research & Development,3,No
3,6,College,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,0,Y,No,13,3,3,80,0,8,2,2,7,7,Travel_Frequently,Research & Development,2,No
0,0,Below College,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,1,Y,No,22,4,2,80,1,1,2,3,1,0,Travel_Rarely,Research & Development,24,No
1,8,Bachelor,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,0,Y,No,21,4,2,80,0,10,2,3,9,7,Travel_Frequently,Research & Development,23,No
0,8,College,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,Travel_Rarely,Research & Development,15,No
4,3,Below College,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,1,Y,No,17,3,4,80,1,5,1,2,5,2,Travel_Rarely,Research & Development,26,No
0,3,Bachelor,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,Travel_Rarely,Research & Development,24,Yes
8,8,Master,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,1,Y,No,11,3,3,80,1,10,1,3,10,9,Travel_Rarely,Research & Development,21,No
0,5,College,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,Travel_Rarely,Research & Development,5,No
3,7,Master,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427,2,Y,No,16,3,3,80,0,31,3,3,25,8,Travel_Rarely,Sales,2,No
1,2,Bachelor,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,Travel_Rarely,Research & Development,2,No
0,3,Master,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,7,Y,No,23,4,2,80,0,10,4,3,5,3,Travel_Rarely,Sales,9,Yes
2,11,Master,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994,0,Y,No,11,3,3,80,0,13,4,3,12,6,Travel_Rarely,Research & Development,7,No
0,0,College,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,1,Y,No,14,3,4,80,0,0,6,3,0,0,Travel_Rarely,Research & Development,15,No
6,7,Below College,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,Travel_Frequently,Research & Development,16,Yes
0,0,Master,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,Travel_Rarely,Research & Development,5,No
1,3,Bachelor,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,2,Y,No,19,3,1,80,2,10,3,3,5,3,Travel_Frequently,Sales,1,No
0,0,Master,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,1,Y,No,13,3,4,80,1,1,6,3,1,0,Travel_Rarely,Research & Development,2,No
0,1,Bachelor,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,1,Y,No,12,3,3,80,0,1,2,2,1,0,Travel_Rarely,Research & Development,25,Yes
1,7,Bachelor,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,1,Y,No,15,3,4,80,0,9,0,3,9,8,Travel_Frequently,Sales,8,No
0,0,College,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,4,Y,No,21,4,1,80,0,8,1,3,1,0,Travel_Rarely,Research & Development,19,No
0,1,Below College,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,1,Y,No,19,3,4,80,0,1,2,3,1,0,Travel_Rarely,Research & Development,8,No
0,0,College,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,Travel_Rarely,Research & Development,1,Yes
8,12,College,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,Travel_Frequently,Research & Development,1,No
1,8,Phd,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,1,Y,No,22,4,4,80,1,9,3,2,9,8,Travel_Frequently,Sales,18,No
1,7,Master,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,3,Y,No,22,4,4,80,1,10,3,2,7,7,Travel_Rarely,Research & Development,7,No
0,7,Master,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,1,Y,No,18,3,3,80,1,7,2,4,7,5,Travel_Rarely,Research & Development,1,No
9,9,Phd,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,1,Y,No,11,3,4,80,0,10,2,3,10,3,Travel_Frequently,Research & Development,29,No
7,9,Bachelor,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,7,Y,No,11,3,4,80,0,28,3,2,21,16,Travel_Rarely,Sales,25,No
0,3,Bachelor,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,1,Y,No,13,3,3,80,0,6,3,3,6,5,Travel_Frequently,Research & Development,11,No
0,0,Bachelor,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,2,Y,No,17,3,3,80,1,25,2,3,1,0,Travel_Rarely,Research & Development,7,No
1,3,Below College,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,7,Y,No,11,3,4,80,0,20,2,2,4,3,Travel_Frequently,Sales,1,No
0,4,Bachelor,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,0,Y,No,23,4,4,80,1,6,3,3,5,4,Travel_Rarely,Research & Development,2,No
0,9,Bachelor,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,1,Y,No,17,3,2,80,2,10,3,3,10,4,Travel_Rarely,Research & Development,1,No
0,0,Bachelor,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,3,Y,No,12,3,2,80,0,5,3,3,1,0,Travel_Rarely,Research & Development,6,No
1,8,Master,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,1,Y,No,23,4,4,80,0,11,2,3,11,7,Travel_Rarely,Research & Development,8,No
3,0,Below College,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,Travel_Rarely,Research & Development,1,No
1,0,College,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,3,Y,No,14,3,4,80,1,24,4,3,1,0,Travel_Rarely,Sales,1,No
0,2,Bachelor,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,4,Y,No,11,3,1,80,0,37,3,2,6,4,Travel_Rarely,Research & Development,7,No
0,3,Master,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,3,Y,No,23,4,2,80,2,10,4,3,4,2,Travel_Rarely,Research & Development,9,No
10,8,Bachelor,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,1,Y,No,19,3,1,80,3,11,3,3,11,10,Travel_Rarely,Research & Development,2,No
11,11,Master,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,1,Y,No,22,4,4,80,1,22,3,2,22,3,Travel_Frequently,Research & Development,1,No
0,0,Below College,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956,1,Y,No,13,3,4,80,0,1,2,3,1,0,Travel_Rarely,Research & Development,1,No
1,0,Bachelor,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,Travel_Frequently,Research & Development,6,Yes
0,0,College,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,5,Y,No,14,3,4,80,1,17,2,4,1,0,Non-Travel,Research & Development,2,No
0,7,Bachelor,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,18172,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,Travel_Frequently,Research & Development,1,No
0,6,Bachelor,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,Travel_Frequently,Research & Development,7,Yes
1,2,Below College,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,0,Y,No,12,3,3,80,1,6,2,3,5,3,Travel_Rarely,Research & Development,18,No
0,0,Master,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505,6,Y,No,15,3,3,80,1,12,3,3,1,0,Travel_Rarely,Research & Development,6,No
1,3,Bachelor,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,7428,2,Y,No,12,3,1,80,0,12,3,3,5,3,Travel_Rarely,Sales,3,No
0,0,College,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,5,Y,No,22,4,1,80,1,7,2,3,1,0,Travel_Rarely,Research & Development,3,No
4,12,College,Life Sciences,158,3,Male,92,3,4,Manager,4,Married,16959,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,Travel_Frequently,Sales,26,No
0,9,Bachelor,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613,1,Y,No,25,4,3,80,3,10,2,2,10,7,Travel_Frequently,Research & Development,23,No
4,3,Master,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,Married,4963,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,Travel_Rarely,Research & Development,14,Yes
15,15,Bachelor,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,19537,7,Y,No,13,3,3,80,0,23,5,3,20,18,Travel_Rarely,Research & Development,6,No
7,7,Master,Life Sciences,163,2,Male,76,1,2,Sales Executive,3,Married,6172,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,Travel_Rarely,Sales,6,Yes
2,2,Bachelor,Life Sciences,175,2,Female,71,1,2,Sales Executive,3,Married,4559,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,Travel_Rarely,Sales,20,Yes
0,7,Below College,Life Sciences,176,3,Male,96,3,3,Sales Executive,3,Divorced,8189,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,Travel_Rarely,Sales,9,No
5,7,Below College,Life Sciences,177,3,Female,61,3,1,Human Resources,3,Married,2942,1,Y,No,23,4,4,80,1,8,3,3,8,7,Travel_Rarely,Human Resources,25,No
0,3,Master,Life Sciences,179,1,Male,53,1,3,Manufacturing Director,4,Single,10650,2,Y,No,15,3,4,80,0,18,2,3,4,2,Travel_Frequently,Research & Development,8,Yes
5,9,Master,Life Sciences,182,4,Female,47,2,2,Sales Executive,3,Married,5902,4,Y,No,14,3,3,80,1,17,1,4,15,11,Travel_Rarely,Sales,4,No
2,2,Bachelor,Life Sciences,183,1,Male,41,2,2,Sales Executive,3,Married,8639,2,Y,No,18,3,4,80,0,6,3,3,2,2,Travel_Rarely,Sales,28,No
0,4,Bachelor,Life Sciences,194,1,Female,75,3,1,Research Scientist,3,Single,2632,1,Y,No,14,3,3,80,0,5,4,2,5,4,Travel_Rarely,Research & Development,18,No
7,7,Bachelor,Life Sciences,199,4,Male,91,2,4,Manager,1,Divorced,17181,4,Y,No,13,3,2,80,1,21,2,2,7,6,Travel_Frequently,Research & Development,10,No
1,4,Master,Life Sciences,200,3,Male,94,3,1,Laboratory Technician,1,Married,2238,2,Y,No,21,4,4,80,1,7,2,3,5,0,Travel_Rarely,Research & Development,9,No
0,15,Bachelor,Life Sciences,206,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,8,Y,No,18,3,3,80,1,20,2,1,17,9,Travel_Rarely,Research & Development,9,No
1,4,College,Life Sciences,223,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,3,Y,Yes,16,3,2,80,1,12,2,1,5,3,Travel_Rarely,Research & Development,24,No
4,4,Bachelor,Life Sciences,226,3,Female,53,3,5,Manager,2,Single,19926,3,Y,No,15,3,2,80,0,21,5,3,5,4,Travel_Rarely,Research & Development,11,No
1,8,Bachelor,Life Sciences,227,1,Male,56,3,1,Research Scientist,3,Divorced,2451,4,Y,No,12,3,1,80,1,13,2,3,9,8,Travel_Rarely,Research & Development,14,No
7,4,Bachelor,Life Sciences,228,2,Female,41,3,3,Sales Executive,4,Married,9419,2,Y,No,12,3,3,80,1,12,2,3,10,9,Travel_Rarely,Sales,5,No
0,7,Master,Life Sciences,230,1,Female,59,2,2,Sales Executive,4,Single,8686,4,Y,No,22,4,3,80,0,12,2,4,8,3,Travel_Rarely,Sales,1,No
1,4,Phd,Life Sciences,231,3,Male,43,3,1,Research Scientist,3,Single,3038,3,Y,No,20,4,1,80,0,8,2,3,5,4,Travel_Rarely,Research & Development,6,No
0,3,College,Life Sciences,240,3,Female,30,3,2,Sales Executive,1,Divorced,5006,4,Y,Yes,11,3,1,80,1,9,3,4,5,4,Travel_Rarely,Sales,4,No
2,2,Bachelor,Life Sciences,241,3,Female,67,3,1,Research Scientist,1,Divorced,4257,4,Y,Yes,18,3,3,80,1,19,3,3,2,2,Travel_Rarely,Research & Development,8,No
0,2,Bachelor,Life Sciences,242,3,Male,90,3,1,Research Scientist,4,Single,2500,0,Y,No,14,3,1,80,0,4,2,4,3,1,Travel_Rarely,Research & Development,2,No
1,0,Bachelor,Life Sciences,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102,1,Y,No,22,4,3,80,0,1,3,2,1,0,Travel_Rarely,Research & Development,2,Yes
2,1,College,Life Sciences,245,3,Female,75,3,1,Laboratory Technician,4,Single,2288,1,Y,No,12,3,3,80,0,2,3,3,2,2,Travel_Rarely,Research & Development,9,No
1,9,Below College,Life Sciences,256,4,Male,45,2,2,Manufacturing Director,3,Married,9547,1,Y,No,17,3,3,80,0,10,2,2,10,9,Travel_Frequently,Research & Development,2,No
11,9,Master,Life Sciences,259,3,Male,65,2,5,Manager,3,Married,19999,0,Y,No,14,3,1,80,1,34,5,3,33,18,Travel_Rarely,Research & Development,1,No
0,1,College,Life Sciences,261,2,Male,50,2,2,Manufacturing Director,3,Married,5916,3,Y,Yes,13,3,1,80,0,8,1,3,1,0,Travel_Rarely,Research & Development,23,Yes
1,7,Bachelor,Life Sciences,267,2,Male,65,4,1,Research Scientist,1,Married,3564,1,Y,Yes,12,3,1,80,1,8,3,2,8,7,Travel_Rarely,Research & Development,21,No
0,0,Master,Life Sciences,271,4,Male,88,3,2,Manufacturing Director,3,Married,6553,9,Y,No,14,3,2,80,0,14,3,3,1,0,Travel_Rarely,Research & Development,2,No
1,7,Master,Life Sciences,275,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,1,Y,Yes,15,3,1,80,2,7,0,3,7,7,Non-Travel,Research & Development,18,No
2,2,Bachelor,Life Sciences,284,4,Male,60,4,1,Research Scientist,2,Divorced,2328,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,Travel_Rarely,Research & Development,5,No
0,2,Phd,Life Sciences,287,4,Male,63,2,2,Healthcare Representative,4,Married,4876,9,Y,No,14,3,4,80,1,5,5,1,3,2,Non-Travel,Research & Development,9,No
5,8,Below College,Life Sciences,292,3,Male,88,2,3,Manufacturing Director,3,Single,8474,1,Y,No,22,4,3,80,0,12,2,3,11,8,Non-Travel,Research & Development,1,No
0,7,Bachelor,Life Sciences,293,4,Female,90,3,2,Sales Executive,3,Single,9981,1,Y,No,14,3,4,80,0,7,2,3,7,7,Travel_Frequently,Sales,20,No
4,7,Master,Life Sciences,296,2,Male,81,2,3,Research Director,2,Married,12490,5,Y,No,16,3,4,80,2,16,5,1,10,9,Travel_Rarely,Research & Development,8,No
0,0,Bachelor,Life Sciences,298,4,Female,75,3,3,Manager,4,Single,13591,3,Y,Yes,18,3,3,80,0,16,3,3,1,0,Travel_Rarely,Sales,6,No
3,7,College,Life Sciences,304,4,Male,62,3,2,Laboratory Technician,2,Single,5914,8,Y,No,16,3,4,80,0,16,3,4,13,11,Travel_Rarely,Research & Development,5,No
5,13,Bachelor,Life Sciences,307,1,Male,76,3,3,Sales Executive,3,Divorced,10609,0,Y,No,12,3,3,80,2,17,6,2,16,10,Travel_Rarely,Sales,3,No
0,0,Bachelor,Life Sciences,309,3,Male,70,2,1,Research Scientist,4,Married,2177,3,Y,No,17,3,1,80,1,7,6,3,1,0,Travel_Rarely,Research & Development,3,No
2,2,Bachelor,Life Sciences,316,3,Female,89,2,1,Laboratory Technician,4,Single,3212,7,Y,No,15,3,2,80,0,6,3,2,2,2,Travel_Rarely,Research & Development,2,No
1,7,College,Life Sciences,328,1,Female,39,3,1,Laboratory Technician,1,Married,2707,7,Y,No,20,4,1,80,0,13,3,4,9,7,Travel_Rarely,Research & Development,2,Yes
